DATA;SUBMERCADO;MEDIA;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23
01/01/22;NORDESTE;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7
01/01/22;NORTE;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7
01/01/22;SUDESTE;57.6;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;66.71;69.31;67.68;64.72;55.7
01/01/22;SUL;57.6;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;66.71;69.31;67.68;64.72;55.7
02/01/22;NORDESTE;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7
02/01/22;NORTE;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7
02/01/22;SUDESTE;70.26;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;73.9;73.9;73.9;73.9;69.53
02/01/22;SUL;70.26;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;69.53;73.9;73.9;73.9;73.9;69.53
03/01/22;NORDESTE;60.4;62.34;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;57.75;69.03;69.13;63.99;59.26;59.27;61.51;63.57;63.62;62.92;62.12;64.61;64.62;64.68
03/01/22;NORTE;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7;55.7
03/01/22;SUDESTE;69.9;68.8;55.7;55.7;55.7;55.7;55.7;63.92;69.71;73.26;73.28;73.46;73.3;73.22;74.3;75.34;75.41;76.2;74.81;74.25;77.11;77.59;76.88;75.09;73.12
03/01/22;SUL;69.93;68.8;55.7;55.7;55.7;55.7;55.7;63.92;70.48;73.26;73.28;73.46;73.3;73.22;74.3;75.34;75.41;76.2;74.81;74.25;77.11;77.59;76.88;75.09;73.12
